WHO_LABEL,pango_lineage,TYPE,update_date
Delta,AY.94,VOC,5/5/2022
Delta,AY.95,VOC,5/5/2022
Delta,AY.96,VOC,5/5/2022
Delta,AY.97,VOC,5/5/2022
Delta,AY.98,VOC,5/5/2022
Delta,AY.98.1,VOC,5/5/2022
Delta,AY.99,VOC,5/5/2022
Delta,AY.99.1,VOC,5/5/2022
Delta,AY.99.2,VOC,5/5/2022
Delta,AY.100,VOC,5/5/2022
Delta,AY.101,VOC,5/5/2022
Delta,AY.102,VOC,5/5/2022
Delta,AY.103,VOC,5/5/2022
Delta,AY.104,VOC,5/5/2022
Delta,AY.105,VOC,5/5/2022
Delta,AY.106,VOC,5/5/2022
Delta,AY.107,VOC,5/5/2022
Delta,AY.108,VOC,5/5/2022
Delta,AY.109,VOC,5/5/2022
Delta,AY.110,VOC,5/5/2022
Delta,AY.111,VOC,5/5/2022
Delta,AY.112,VOC,5/5/2022
Delta,AY.113,VOC,5/5/2022
Delta,AY.114,VOC,5/5/2022
Delta,AY.115,VOC,5/5/2022
Delta,AY.116,VOC,5/5/2022
Delta,AY.116.1,VOC,5/5/2022
Delta,AY.117,VOC,5/5/2022
Delta,AY.118,VOC,5/5/2022
Delta,AY.119,VOC,5/5/2022
Delta,AY.119.1,VOC,5/5/2022
Delta,AY.120,VOC,5/5/2022
Delta,AY.120.1,VOC,5/5/2022
Delta,AY.120.2,VOC,5/5/2022
Delta,AY.120.2.1,VOC,5/5/2022
Delta,AY.121,VOC,5/5/2022
Delta,AY.121.1,VOC,5/5/2022
Delta,AY.122,VOC,5/5/2022
Delta,AY.122.1,VOC,5/5/2022
Delta,AY.123,VOC,5/5/2022
Delta,AY.124,VOC,5/5/2022
Delta,AY.125,VOC,5/5/2022
Delta,AY.126,VOC,5/5/2022
Delta,AY.127,VOC,5/5/2022
